,Date,Username,Location,Tweet,Sentiment
57,2022-11-29 11:17:05+00:00,explore_ai_acad,South Africa,"Ever heard about how education changes lives? 🎓 

We’re giving away bursaries to three lucky winners. The competition opens on Wed 30th November. Keep your eyes peeled! https://t.co/nNNwxX6wOf",Positive
58,2022-11-28 15:20:08+00:00,explore_ai_acad,South Africa,"Let's talk streaming data 💻

Streaming data refers to any type of data that is produced continuously, in real time. It's used in a variety of ways, from processing video and audio to monitoring sensors and other devices.

#ExploreAIAcademy #TechSkills
#BigData
#DataAnalystics https://t.co/C4v11PEqR9",Neutral
59,2022-11-24 08:00:22+00:00,explore_ai_acad,South Africa,"Congratulations to these ExplorerAI Academy alumni on their outstanding results achieved at BRICS Future Skills Challenge 2022, where 15 South African students received medals 🚀

More here:
https://t.co/bQV4G8OcPQ

#ExploreAIAcademy #BRICS #DataScience https://t.co/Y822ifpp9E",Positive
60,2022-11-23 13:26:05+00:00,explore_ai_acad,South Africa,"A career in tech doesn’t limit your options, it expands your opportunities 💪

#ExploreAIAcademy
#DataScience
#TechMyths https://t.co/Brp1UCfrbk",Neutral
61,2022-11-22 15:15:06+00:00,Iam__Fibonacci,,@explore_ai_acad Thats really cool,Positive
62,2022-11-22 11:34:28+00:00,adekunlearmani,"Lagos, Nigeria",@explore_ai_acad 🈸,Positive
63,2022-11-22 10:58:05+00:00,explore_ai_acad,South Africa,"Data science in music! 🎧

Thanks to data science, artists and music producers can expose their music to more people who are likely to enjoy it.

#ExploreAIAcademy #DataScience #DataEngineering
#Music https://t.co/C67euQ4mWd",Positive
64,2022-11-18 20:39:29+00:00,Iam__Fibonacci,,@explore_ai_acad are now paying Data Eng students a monthly stipend to study Data Eng😋.Crazy,Positive
65,2022-11-18 11:25:05+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers! 🧑‍🚀

We’re happy to be part of your story, Adeh.

#ExploreAIAcademy #DataScience #DataEngineering #ExploreGraduate https://t.co/sC8tsJD7Hh",Positive
66,2022-11-17 11:21:05+00:00,explore_ai_acad,South Africa,"From working in sales to junior data scientist 🚀 

Hard work pays off.
Congratulations on your exciting new career, Thembinkosi.

#ExploreAIAcademy #DataScience #DataEngineering
#CareerChange https://t.co/P5kBsDq55t",Positive
67,2022-11-16 13:30:10+00:00,explore_ai_acad,South Africa,"Getting paid to study? 🤔 Yes, please.

Apply for our Data Engineering Scholarship and receive a monthly stipend while studying.

Hurry up, applications close at midnight on Friday 18 November.

https://t.co/TU3bLCteEv

#ExploreAIAcademy #DataEngineering #Scholarship https://t.co/mUElmi9Yhk",Positive
68,2022-11-15 11:15:06+00:00,explore_ai_acad,South Africa,"Uber uses driver and user data to keep rides safe and affordable 🚕

#ExploreAIAcademy
#DataScience
#DataDaily #Uber https://t.co/LmvKoecx4a",Neutral
69,2022-11-14 13:10:06+00:00,explore_ai_acad,South Africa,"Meet Nolwazi! 🧑‍🚀

Nolwazi holds a master's degree in Pure Mathematics and a postgraduate diploma in machine learning, making her a great asset to our Academy!

Do you have any questions for her? Leave them in the comments below 💬

#ExploreAIAcademy #DataScience #DataEngineer https://t.co/aYAB6Bwi0T",Neutral
70,2022-11-14 10:48:03+00:00,mphoee19,South Africa,@explore_ai_acad Thank you 🙏🏾,Positive
71,2022-11-14 10:42:55+00:00,explore_ai_acad,South Africa,"@mphoee19 Hi Mpho,

Please contact our admissions team via admissions@explore.ai and they will happily assist you.",Positive
72,2022-11-14 05:49:01+00:00,mphoee19,South Africa,"@explore_ai_acad Hello, just wanted to find out about the email with instructions on the interview video. Does the email come immediately after completing the assessments (if you qualify) or does it take time? I completed the assessments last week.",Neutral
73,2022-11-11 20:29:57+00:00,Iam__Fibonacci,,"@explore_ai_acad Hello Gabi, I really enjoyed your choose growth sessions.Pass greetings to Zintle😉",Positive
74,2022-11-11 10:10:06+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers 🧑‍🚀

We are happy that you always chose growth, Gabriel.

#ExploreAIAcademy #DataScience #DataEngineering #ExploreGraduate https://t.co/Xy2ixIfpHO",Positive
75,2022-11-11 06:57:16+00:00,explore_ai_acad,South Africa,"@Conallo3 Hi Conallo,

Great news! Applications have been extended and will close on the 18th of November 2022.",Positive
76,2022-11-10 11:16:06+00:00,explore_ai_acad,South Africa,"Good news ⏰

Applications for our 2023 data science and data engineering courses have been extended and will close on the 18th of November 2022.

Follow the link to apply now!

https://t.co/VluIvS544b

#ExploreAIAcademy #DataScience #DataEngineering 
#ApplicationsOpen https://t.co/mJVeIZHbgG",Positive
77,2022-11-09 13:30:05+00:00,explore_ai_acad,South Africa,"Ever wondered what the machine learning buzz is about? 🤔

Machine learning (ML) describes how a software application learns patterns and relationships from data and uses them to make predictions. All without human intervention!

#ExploreAIAcademy #DataScience #MachineLearning https://t.co/LiV1QJLArq",Neutral
78,2022-11-08 12:10:27+00:00,Conallo3, South Africa,"@explore_ai_acad has the date been changed, on the site it says the 16th",Neutral
79,2022-11-08 10:56:01+00:00,explore_ai_acad,South Africa,"What are you waiting for?  💻

Start a career in tech in less than a year. Study data science or data engineering.

Follow the link to apply.

https://t.co/VluIvS544b

#ExploreAIAcademy #DataScientist #DataEngineer
#TechMyths #CareerChanger  #TechTalent 
#TechCareer https://t.co/q2wnJU4yhk",Neutral
80,2022-11-07 15:09:08+00:00,explore_ai_acad,South Africa,"Ready for your next adventure? ⏰

Applications for our 2023 data science and data engineering courses close in 2 days.

Follow the link to apply now!

https://t.co/VluIvS544b

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/4mFC2yQvso",Neutral
81,2022-11-02 11:55:02+00:00,explore_ai_acad,South Africa,"Time to take that big step ⏰

Applications for our data science and data engineering courses are closing soon.

Click the link below to apply.

https://t.co/VluIvS544b

#ExploreAIAcademy #DataScience #DataEngineering #StudyOnline https://t.co/INEKk0GqXX",Neutral
82,2022-10-30 19:28:56+00:00,ihakipharis,Danger Zone,"@SharonJebitok @alx_africa @explore_ai_acad are also recruiting for the January cohort in data science, they offer an accelerator program with a learn now and pay later agreement",Positive
83,2022-10-30 14:51:33+00:00,DevQuams,,"If you're looking forward in becoming either a data scientist or a data engineer, @explore_ai_acad is the most suitable of all time which will give you adequate training, and then help you land your dream job. What are you waiting for?
 Grab your opportunity now!!! https://t.co/CxOd14Hbq0",Positive
84,2022-10-28 10:36:01+00:00,explore_ai_acad,South Africa,"Data science in healthcare! 🧑‍⚕️

Did you know that data science can be used to reduce common errors in healthcare?

#ExploreAIAcademy #DataScience #DataEngineering
#Healthcare https://t.co/tDviy9N8vr",Neutral
85,2022-10-27 19:42:34+00:00,MahlatsiMakhub3,"Pretoria, South Africa",@explore_ai_acad Thank you,Positive
86,2022-10-26 11:58:05+00:00,explore_ai_acad,South Africa,"Let's talk batch data! 💻

Batch data refers to a set of data records collected over a defined time period, or a defined number of records collected over any time period.

#ExploreAIAcademy #DataScience #DataEngineering #BigData #BatchData https://t.co/UMnAtQQIrt",Neutral
87,2022-10-26 09:10:03+00:00,explore_ai_acad,South Africa,"@MahlatsiMakhub3 Hi Mahlatsi, 

We will be starting the application review and selection process after admissions close. 

Students can expect feedback before the end of December.",Neutral
88,2022-10-26 09:09:40+00:00,explore_ai_acad,South Africa,"@MahlatsiMakhub3 Hi Mahlatsi, 

We will be starting the application review and selection process after admissions close. 

Students can expect feedback before the end of December.",Neutral
89,2022-10-25 14:19:35+00:00,MahlatsiMakhub3,"Pretoria, South Africa","@explore_ai_acad Hi, guys how long does it take to observe the results",Neutral
90,2022-10-25 14:18:27+00:00,MahlatsiMakhub3,"Pretoria, South Africa","@explore_ai_acad @explore_ai Hi, guys how long does take observe results for test",Neutral
91,2022-10-25 09:13:01+00:00,explore_ai_acad,South Africa,"From retail store assistant to BI developer 🧑‍💻

Kone completed our data science course without any prior tech experience and is currently working as a BI developer.

Click the link below to apply.

https://t.co/VluIvS544b

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/dhPv1pJwix",Positive
92,2022-10-25 04:51:27+00:00,Innovactionist,Still lost in translation,"@datawithsuman Thanks for sharing. I found these learning pathways very useful to gain those skills.  
@worldquantu and @explore_ai_acad .",Positive
93,2022-10-21 10:45:01+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers! 🧑‍🚀

Get out there and make an impact, Olasunkanmi.

#ExploreAIAcademy #DataScience #DataEngineering #ExploreGraduate https://t.co/Fd0PJk4mKZ",Positive
94,2022-10-20 09:42:01+00:00,explore_ai_acad,South Africa,"Study data science or data engineering in your own time 🕐

Are you busy? Great. 
Study part-time at 15 hrs/week for 12 months.

Not busy? Study 50 hrs/week for 8 months*.

Click here to apply.

https://t.co/VluIvS5BTJ

#ExploreAIAcademy #DataScience #DataEngineering #StudyOnline https://t.co/R6Avl1OTyG",Neutral
95,2022-10-19 19:15:43+00:00,MijanSoltic,Nigeria,"@thatjuanpablo Hi Juan, Finished my Data Science Training a couple months ago  @explore_ai_acad. Worked as a Data Science Intern for a period of three months. 

Collaborated on several Machine Learning projects in Agriculture, Tourism, Energy,etc.
Check ‘em out 
https://t.co/3UM1YpnhA2",Positive
96,2022-10-18 08:58:01+00:00,explore_ai_acad,South Africa,"Let’s talk data visualisation 📊

Data visualisation helps us present large sets of data and makes identifying trends much easier!

Which data visualisation tools do you use?

#ExploreAIAcademy #DataScience #DataEngineering #DataVisualisation https://t.co/kPSIRG60sn",Neutral
97,2022-10-14 10:21:01+00:00,explore_ai_acad,South Africa,"Study now, pay when you’re hired! 🧑‍🎓

Our ISA allows students to study data science or data engineering without any upfront costs.

Follow the link below for more information

https://t.co/4eO47qJRgO

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/56fTjsO5Q6",Neutral
98,2022-10-13 09:24:40+00:00,ITWeb,,".@explore_ai_acad seeks companies to partner with the data science academy. #DataScience #AI #DataScientists #training #CareerMoves #ArtificialIntelligence
https://t.co/ZaygrWxlkD",Positive
99,2022-10-12 11:38:01+00:00,explore_ai_acad,South Africa,"Meet Luka! 🧑‍🚀

With his master's in statistics and data science, specialising in extreme value theory and machine learning, our students are learning from the best!

Do you have any questions for him? Leave them in the comments below. 💬

#ExploreAIAcademy #DataScience https://t.co/SlbkVnWnUF",Neutral
100,2022-10-11 09:13:01+00:00,explore_ai_acad,South Africa,"A big ‘kudos’ to Strava for using their large dataset to make travelling safer and more accessible for runners, pedestrians, and cyclists! 🏃

#ExploreAIAcademy #DataScience #DataDaily #Strava #DataDaily https://t.co/SwLn9oVAjN",Positive
101,2022-10-05 12:00:20+00:00,explore_ai_acad,South Africa,"Calling all creatives! 🎨

Have you considered a career in tech? 

#ExploreAIAcademy
 #DataScience
 #TechMyths https://t.co/2LhvVYr7Bt",Neutral
102,2022-10-04 14:08:03+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers 🧑‍🚀

Congratulations, Samuel, and all the best for your exciting career ahead!

#ExploreAIAcademy #DataScience #DataEngineering #ExploreGraduate https://t.co/kCH504EVfK",Positive
103,2022-09-29 09:20:02+00:00,explore_ai_acad,South Africa,"Don’t worry about tuition. We’ve got you covered 🧑‍🎓

There are five payment options for our data science and data engineering courses.

Follow the link below to see which option works for you.

https://t.co/VluIvS544b

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/OOgj5lL69j",Neutral
104,2022-09-28 18:36:41+00:00,explore_ai_acad,South Africa,"@Comfort_Herslf Hi Mo,

Our course doesn't require any previous IT or data experience.

Let us know if there is anything else we can help you with.",Positive
105,2022-09-28 04:53:07+00:00,Comfort_Herslf,,@explore_ai_acad Hey. Can you study this course without any IT or Data background?,Neutral
106,2022-09-27 23:24:01+00:00,explore_ai_acad,South Africa,"Calling all aspiring data engineers! 💻

Our data engineering course includes everything from developing problem-solving skills to working with complex big data.

Follow the link below to learn more.

https://t.co/VluIvS544b

#ExploreAIAcademy #DataEngineering
#ExploreYourFuture https://t.co/HD36yQPbHO",Neutral
107,2022-09-27 10:12:01+00:00,explore_ai_acad,South Africa,"Study data science. Own your future 💻

Applications for our full-time and part-time data science courses are open!

Follow the link to learn more.

https://t.co/VluIvS544b

#ExploreAIAcademy #DataEngineering #DataScience #TechCareer #ExploreYourFuture https://t.co/vW4Jpx7vX3",Neutral
108,2022-09-26 13:57:02+00:00,explore_ai_acad,South Africa,"Ready for your next adventure? ⏰

Admissions for our 2023 data science and data engineering courses are open.

Follow the link to apply now!

https://t.co/uLqwlRKafd

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/kVcwTgDE7X",Neutral
109,2022-09-22 12:27:01+00:00,explore_ai_acad,South Africa,"Let’s talk regression!  💻

Regression explains the relationship between two or more variables. It predicts the value of a dependent variable based on two or more independent (explanatory) variables.

#ExploreAIAcademy #DataScience #DataEngineering #MachineLearning https://t.co/koNIWQTX3s",Neutral
110,2022-09-21 12:24:01+00:00,explore_ai_acad,South Africa,"From tech support to fraud analyst 💪

After finishing our data science course, Rizqah found a job as a fraud analyst.

Visit our website for more information on our courses.

#ExploreAIAcademy #DataScience #DataEngineering #AcceleratorIncomeShareAgreement https://t.co/b0CN05KPIx",Positive
111,2022-09-20 08:55:01+00:00,explore_ai_acad,South Africa,"Data science in agriculture! 🧑‍🌾

Did you know data science can be used to fight food scarcity by informing decisions which reduce drought damage and predict crop sizes?

#ExploreAIAcademy #DataScience #DataEngineering
#Agriculture https://t.co/Bkk5ekndxu",Neutral
112,2022-09-15 09:36:01+00:00,explore_ai_acad,South Africa,"How does AI really work? 🤔

Artificial intelligence is a system that is programmed to mimic human intelligence and behaviour.

How do you think AI can make our lives better?

#ExploreAIAcademy #DataScience #DataEngineering #AI https://t.co/61iwfhSMhQ",Neutral
113,2022-09-14 12:44:01+00:00,explore_ai_acad,South Africa,"Why ExploreAI Academy? 💻

We equip our students with the highest-quality learning material, all you need to bring is a hunger to learn!

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/P8wZPxQvGa",Neutral
114,2022-09-13 13:52:02+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers! 🧑‍🚀

All the best for the future, Jack.

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/6YZN8R3eRq",Positive
115,2022-09-09 09:43:11+00:00,MissKki,,@explore_ai_acad Do guys work with Spotify ??,Neutral
116,2022-09-09 08:10:01+00:00,explore_ai_acad,South Africa,"Data science is part of our everyday lives.

Recommender system algorithms use data to serve you up media that you’re likely to enjoy.

Thanks to data we can have less ‘skips’ and more ‘repeats’. 🎧

#ExploreAIAcademy #DataScience #DataEngineering #Spotify https://t.co/6kK42bleCf",Neutral
117,2022-09-07 12:16:01+00:00,explore_ai_acad,South Africa,"Meet Megan! 🧑‍🚀

When Megan is not using her background in science and business to help us at ExploreAI, she’s spending time on a good book or watching her kids play sports.

Leave any questions for her in the comments below. 💬

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/ee0mXiR0aT",Positive
118,2022-09-06 14:22:57+00:00,explore_ai_acad,South Africa,Studying data science enabled me to:,Neutral
119,2022-09-05 13:22:02+00:00,explore_ai_acad,South Africa,"Thoughts from Explorers 🧑‍🚀

We love hearing about our students’ successes and we are happy to be part of every journey!

Thank you for your message, Caleb Tanko.

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/LFO2WC2NCu",Positive
